Code	Product label	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	Exporter
90	Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...	48767435	56519903	66133349	63981334	67218291	68773985	62100114	64872029	73331967	79980015	79457606	74535250	Germany
39	Plastics and articles thereof	48159173	53506444	61505198	57420579	60550317	62934869	56058285	57400821	63173991	67669156	62929691	60161909	Germany
99	Commodities not elsewhere specified	35272323	40387556	43927564	43973921	44470082	49045735	42874710	41835600	38393487	38038307	35266936	30535500	Germany
88	Aircraft, spacecraft, and parts thereof	31153093	30958318	37731494	43481830	44010555	43724995	43903025	45039677	42387778	41426489	43236015	28264460	Germany
73	Articles of iron or steel	27585072	28465858	34546209	32016850	33214417	33351869	28581438	27998994	30433550	33514332	31202446	28185730	Germany
38	Miscellaneous chemical products	17972292	20901282	25065719	22886160	24817743	25631887	22569561	23397952	25007284	27134471	26170082	27046138	Germany
27	Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...	24070186	26674381	37098662	36757402	36403369	35393107	29750472	22997923	26126339	33199216	34039982	26196875	Germany
29	Organic chemicals	24598734	26080901	29386266	28755619	30147608	30422383	24002787	22736857	25025705	26854205	25780951	24576820	Germany
71	Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...	9954770	15174860	20985870	19610798	16711362	14159600	12072578	12648050	13025040	14277863	17757915	22687842	Germany
72	Iron and steel	22986411	29591780	35737415	31431707	29105625	29075503	23115784	21449439	26263655	29111225	25540260	22086746	Germany
48	Paper and paperboard; articles of paper pulp, of paper or of paperboard	21838202	23880019	26026101	21932663	22195531	22506071	19011056	19141635	20089085	22176364	20621979	19191188	Germany
94	Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...	14796804	15366753	18331296	16982244	17247450	18092091	16269778	16811935	17314210	18628722	17861644	16493313	Germany
40	Rubber and articles thereof	12129505	15070377	18868366	17610579	17896432	17853481	15279484	15466029	17123784	17931476	16598712	15140020	Germany
76	Aluminium and articles thereof	12818762	13651578	17751770	15559977	16212864	16966653	15540960	15164438	16425780	17736745	16485729	14745633	Germany
32	Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...	10065752	11350847	13145027	13131560	13840809	13992986	11826889	12006348	12870189	13637741	12945307	12207330	Germany
74	Copper and articles thereof	9308318	13772575	16880493	14893274	14024380	13696397	11065502	10359977	12269946	13252150	11561182	11536296	Germany
62	Articles of apparel and clothing accessories, not knitted or crocheted	9281599	9115006	10553406	9484482	9710127	10172223	8347614	8583596	10530548	12276548	12489807	11515062	Germany
61	Articles of apparel and clothing accessories, knitted or crocheted	7388985	7933875	9184559	8166651	8587097	9290273	7830957	7949465	9787282	11103946	11314712	11107962	Germany
04	Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...	8340689	9316398	10904970	10192285	11950270	12394298	9208331	8797405	10386510	10530547	10536248	10619227	Germany
28	Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...	7642455	9005555	10714398	10067735	9450639	9792367	7954086	7549782	8530580	9268451	9838075	10520676	Germany
33	Essential oils and resinoids; perfumery, cosmetic or toilet preparations	8899959	9689154	10747773	10510698	11132375	11119241	9686353	10042356	10591776	11652263	11701739	10293167	Germany
44	Wood and articles of wood; wood charcoal	8255276	8602359	9274825	8245089	8764114	9149940	7863351	8164120	8850717	9845533	9498114	9887893	Germany
82	Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal	6735141	7631250	9004951	8670881	9101396	9690862	8519402	8667025	9406017	10150930	9433882	8709545	Germany
34	Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...	6353511	6936271	8078259	7805553	8379331	8686334	7562238	7820357	8447450	9095429	8592556	8582474	Germany
02	Meat and edible meat offal	8401056	8496138	10121048	10032460	10379106	10003939	8064658	8474031	8983367	8547412	9115320	8284419	Germany
64	Footwear, gaiters and the like; parts of such articles	3789074	4072996	5418371	4504555	5137204	5815619	5078414	5846026	7451125	8589605	8978209	8260487	Germany
83	Miscellaneous articles of base metal	7033765	7781542	8871348	8142969	8515006	8787085	7658143	7941896	8410293	8933999	8382572	7853130	Germany
19	Preparations of cereals, flour, starch or milk; pastrycooks' products	5591806	5501065	6152333	6097904	6676323	6870001	6189289	6513151	7105296	7583893	7382541	7564153	Germany
21	Miscellaneous edible preparations	5004610	4936839	5680265	5640705	6142359	6360830	5505063	5800303	6291337	6735265	6698415	6972574	Germany
70	Glass and glassware	5760196	6031646	6683288	6198012	6718698	7136819	6227443	6411907	6894165	7784553	7127434	6632443	Germany
22	Beverages, spirits and vinegar	5553454	5857118	6509665	6310278	6741054	6934404	5963551	6282244	6590699	6970070	6656661	6102097	Germany
18	Cocoa and cocoa preparations	3797265	4369779	5093484	4816978	5317418	6095967	5387887	5710829	5784858	6194380	6180269	6041775	Germany
95	Toys, games and sports requisites; parts and accessories thereof	7815861	6604056	6841436	5083096	4500397	4735040	4489409	4491761	5389675	6027224	5790064	5921283	Germany
23	Residues and waste from the food industries; prepared animal fodder	3484326	3547648	3973209	4451483	4884021	5100540	4437552	4450008	4453035	4865492	4831473	5624654	Germany
89	Ships, boats and floating structures	3398387	6646076	4313544	5084505	4642259	5425577	5730087	5846655	7054399	8867620	6145823	5426522	Germany
68	Articles of stone, plaster, cement, asbestos, mica or similar materials	3846551	4300709	5064670	4622010	4892644	5163717	4542012	4798296	5208184	5758107	5393041	5157010	Germany
96	Miscellaneous manufactured articles	2347393	2493959	2728459	4291486	4501995	4808107	4087794	4248699	4415136	4662186	4447312	4345245	Germany
35	Albuminoidal substances; modified starches; glues; enzymes	2771086	3079731	3560775	3517234	3757912	4048749	3447180	3428645	3875946	4140516	3971740	4249123	Germany
63	Other made-up textile articles; sets; worn clothing and worn textile articles; rags	2270992	2357608	2833340	2684188	2835009	3083456	2772098	2823388	2803312	3134936	3091936	4164078	Germany
49	Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...	6156285	5872119	5964288	5303642	5515477	5508143	4599330	4551406	4602367	4988380	4423611	3999445	Germany
86	Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...	4945652	5377308	4777202	5035425	4768558	4786069	3522337	4653622	5255388	4651568	4074144	3988556	Germany
69	Ceramic products	3498483	3585469	4020134	3693214	3802281	3904860	3385249	3479757	3664030	4127718	4130881	3688496	Germany
16	Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates	3116397	2964072	3381957	3306520	3609811	3695935	3111060	3067023	3236258	3545017	3439004	3465356	Germany
20	Preparations of vegetables, fruit, nuts or other parts of plants	2804175	2564237	2856282	2817101	3086003	3151112	2775895	2891340	3149470	3468977	3313108	3313609	Germany
09	Coffee, tea, maté and spices	2163127	2480584	3374925	3086856	2988542	3125847	2834089	2959525	3326713	3248254	3046116	3246978	Germany
15	Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...	2169260	2441089	3495815	3767866	3968361	3279741	2960403	3083262	3237571	2988307	2786630	3176735	Germany
10	Cereals	3016525	2823660	3317142	3320473	4324986	3851433	3400566	2842344	2440211	1970198	1950343	2990152	Germany
24	Tobacco and manufactured tobacco substitutes	5230690	5118025	6071774	5372678	4977640	5094027	4678573	4854773	4449768	4177132	3670235	2815782	Germany
56	Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof	2275891	2521172	2946857	2669760	2874803	3023663	2568260	2563622	2749888	2885225	2771730	2719030	Germany
17	Sugars and sugar confectionery	2011470	1982639	2327415	2492795	2504913	2563806	1988061	2166503	2535596	2667135	2534444	2623151	Germany
42	Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...	1743751	1810311	2180238	2027940	2152711	2344410	2101704	2246534	2541596	2783062	2756710	2445876	Germany
59	Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...	2017334	2367500	2733414	2520869	2648466	2679217	2302703	2480170	2710364	2897130	2595685	2393528	Germany
08	Edible fruit and nuts; peel of citrus fruit or melons	1637615	1682338	1777867	1596706	1860186	2006555	2042635	2114438	2128510	2202111	2115586	2281560	Germany
25	Salt; sulphur; earths and stone; plastering materials, lime and cement	2539287	2555666	2996168	2545805	2622302	2585398	2224933	2204371	2238863	2341358	2220896	2092858	Germany
11	Products of the milling industry; malt; starches; inulin; wheat gluten	1255828	1200792	1441080	1525141	1668336	1781589	1577957	1603870	1706453	1848105	1855027	1855756	Germany
91	Clocks and watches and parts thereof	1342606	1683469	2081621	2087429	2379012	2543853	2376949	2016898	1959185	2013324	1852557	1641566	Germany
12	Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...	1145101	1235821	1426964	1242179	1335565	1474274	1270145	1397836	1534080	1698410	1498223	1593113	Germany
03	Fish and crustaceans, molluscs and other aquatic invertebrates	1390114	1453025	1714839	1504770	1676760	1804248	1616489	1783063	1857900	1843942	1654041	1516115	Germany
75	Nickel and articles thereof	855729	1054365	1415524	1405236	1323887	1394144	1233365	979061	1213612	1498567	1568836	1464122	Germany
01	Live animals	1425224	1443241	1779166	1792194	2033939	2017558	1728518	1643893	1670774	1668533	1553860	1359160	Germany
07	Edible vegetables and certain roots and tubers	1116906	1184353	1266429	1161859	1467845	1254724	1091992	1173039	1230298	1273249	1341320	1280252	Germany
54	Man-made filaments; strip and the like of man-made textile materials	1869626	1931416	2204852	1842805	1865482	1914384	1618206	1560702	1622502	1679396	1511272	1257293	Germany
81	Other base metals; cermets; articles thereof	841118	1162194	1573782	1497585	1554188	1728664	1407078	1409563	1568894	1732506	1616705	1202914	Germany
37	Photographic or cinematographic goods	1580817	1521356	1532085	1496291	1543039	1551521	1311975	1381324	1370106	1489422	1373880	1188833	Germany
06	Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage	859125	847954	1065775	984174	1111277	1113341	938395	1019858	1023631	1132885	1074862	1074334	Germany
47	Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...	1132731	1429002	1753803	1448125	1541641	1531451	1358023	1331187	1413777	1417163	1288609	1047292	Germany
31	Fertilisers	2261783	2338074	3144907	3203528	2847737	2453858	997308	911565	966129	1078384	1089235	1015755	Germany
05	Products of animal origin, not elsewhere specified or included	774962	782650	969625	984295	1114161	1052768	856660	870186	991717	1094625	1034714	981440	Germany
55	Man-made staple fibres	1536323	1623027	1829242	1672928	1791734	1788930	1074572	1042378	1099003	1125186	1000448	926491	Germany
97	Works of art, collectors' pieces and antiques	712702	1025797	1305590	1211857	865955	842359	918485	782163	869586	1036022	913009	720399	Germany
92	Musical instruments; parts and accessories of such articles	548945	630526	746446	696477	720468	730496	620072	611143	679880	759267	772698	717860	Germany
60	Knitted or crocheted fabrics	966663	1062780	1242494	1005948	1027452	1021203	865789	882865	934223	902768	806379	694923	Germany
52	Cotton	1210316	1324216	1629487	1330077	1300927	1261326	982249	945242	963166	945409	813918	687618	Germany
41	Raw hides and skins (other than furskins) and leather	863705	1123277	1423629	1299635	1416428	1512340	1224282	1095867	1085458	1063599	797212	620102	Germany
79	Zinc and articles thereof	482958	629320	726675	658213	599146	675658	513384	519145	706341	752784	744922	590908	Germany
65	Headgear and parts thereof	318837	346065	406406	358976	409201	452205	383236	414642	482696	529108	547184	560035	Germany
57	Carpets and other textile floor coverings	657381	686954	754716	677930	673079	689896	567251	601043	619553	646910	604149	557292	Germany
93	Arms and ammunition; parts and accessories thereof	537536	537877	555146	589785	688440	577779	494695	566776	534409	534982	506646	539620	Germany
13	Lac; gums, resins and other vegetable saps and extracts	621330	623757	649029	631614	676073	674110	405949	428015	501656	548711	551689	536278	Germany
26	Ores, slag and ash	333217	409554	479918	458289	448015	418218	368473	407045	554825	594785	576164	499917	Germany
58	Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery	603900	631185	690547	594745	603105	610400	549551	560320	596281	616733	579864	499320	Germany
51	Wool, fine or coarse animal hair; horsehair yarn and woven fabric	747016	845245	1064740	867929	734332	696407	634468	626296	569684	580008	522938	396173	Germany
78	Lead and articles thereof	544666	655028	708783	554367	554103	630095	449332	373564	499564	504300	381070	338924	Germany
36	Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations	261467	268965	315446	299087	300843	281989	168822	181070	213522	262632	264293	229544	Germany
67	Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...	89097	94073	119025	116581	120941	129673	113397	127548	137009	162548	166642	168412	Germany
66	Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof	253436	153999	113698	101652	101080	112528	105163	132429	104980	117546	107290	94082	Germany
80	Tin and articles thereof	94856	138156	191259	146728	155890	165447	114629	116373	130964	134394	107801	93462	Germany
43	Furskins and artificial fur; manufactures thereof	174478	197568	249310	280584	273785	256004	149557	125581	142420	146764	123913	60340	Germany
46	Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork	65447	54977	54698	50101	50095	54085	49379	54977	50471	51978	52840	59594	Germany
53	Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn	67541	62434	73632	60128	53472	53058	45130	45274	42720	46102	46180	38696	Germany
45	Cork and articles of cork	47501	40579	46768	40505	34711	36404	31525	33728	33277	35215	34047	31914	Germany
50	Silk	84968	85620	97104	101007	97117	86970	64373	50083	49945	51904	30131	23988	Germany
14	Vegetable plaiting materials; vegetable products not elsewhere specified or included	12930	12170	15800	13845	10775	12712	9002	7689	8338	10778	9336	9879	Germany
TOTAL	All products	2017386	2085662	2541705	2531665	2660989	2750172	2611672	2640277	3013160	3630401	4175809	3934554	Senegal
71	Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...	182896	204920	248262	359386	381759	353060	257376	329544	379493	565051	642139	736119	Senegal
27	Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...	440823	436104	374420	360804	439199	460980	362449	282196	445327	572632	831360	629026	Senegal
03	Fish and crustaceans, molluscs and other aquatic invertebrates	228373	232251	300331	262947	302941	374587	331738	365203	396428	472819	496089	431684	Senegal
28	Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...	150205	201876	345372	279552	170074	108588	164446	199981	170474	288392	340510	270500	Senegal
12	Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...	3909	9060	15147	17191	33225	14606	90519	108041	90632	84548	195402	203413	Senegal
26	Ores, slag and ash	35	230	1192	236	202	20269	93213	99615	145160	179705	196980	202189	Senegal
25	Salt; sulphur; earths and stone; plastering materials, lime and cement	185677	239728	280885	269932	214187	252822	269161	266656	257293	206752	193706	174341	Senegal
21	Miscellaneous edible preparations	45029	49335	74181	93706	132293	126919	115975	116676	137008	146184	144673	148577	Senegal
72	Iron and steel	84275	99522	150424	137316	118284	83630	51008	42307	77750	97065	102057	109291	Senegal
07	Edible vegetables and certain roots and tubers	21560	24839	30872	26868	53723	59097	48674	52234	68530	72277	69993	89020	Senegal
33	Essential oils and resinoids; perfumery, cosmetic or toilet preparations	48454	44508	46408	46326	46966	55660	47084	48392	53421	73299	72498	78240	Senegal
08	Edible fruit and nuts; peel of citrus fruit or melons	8768	8976	17050	21334	29533	30264	23041	32743	37392	69263	100479	74211	Senegal
24	Tobacco and manufactured tobacco substitutes	88015	87689	99645	87221	128110	132740	127353	114232	108045	96190	74148	62735	Senegal
67	Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...	4073	3327	2827	10620	28867	34551	36761	41858	52551	61402	35892	58227	Senegal
19	Preparations of cereals, flour, starch or milk; pastrycooks' products	10037	12351	29464	38319	48245	48388	49650	32883	56946	41810	35071	56078	Senegal
16	Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates	12566	4295	3366	625	12267	14884	11741	6029	10734	21735	68701	52306	Senegal
89	Ships, boats and floating structures	1460	767	1205	22029	651	721	296	283	1923	808	16719	42854	Senegal
84	Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof	22434	29136	31783	38396	20519	39459	35183	33164	31259	29361	36415	40396	Senegal
39	Plastics and articles thereof	50635	36616	31746	37621	35194	41865	37920	41458	40790	42269	33113	38334	Senegal
31	Fertilisers	11082	9276	13065	7373	11456	31813	10508	17346	32597	46919	50267	36987	Senegal
55	Man-made staple fibres	1514	1871	1378	5780	17152	20832	22690	24969	34539	34982	26635	35637	Senegal
34	Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...	8052	17564	16277	12158	12910	11761	9997	15040	15657	18035	22285	27477	Senegal
10	Cereals	50020	23366	54969	43693	39487	41562	38272	46306	32371	46491	52769	26456	Senegal
87	Vehicles other than railway or tramway rolling stock, and parts and accessories thereof	46537	41167	32114	29651	16411	23352	19686	25295	34930	16228	27441	24638	Senegal
85	Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...	23971	26202	29265	44026	35955	47729	47603	32664	39034	31358	21787	24495	Senegal
22	Beverages, spirits and vinegar	3715	3970	5365	3945	4858	4112	4229	3221	5431	5454	8406	22045	Senegal
73	Articles of iron or steel	11047	14309	12386	14372	13842	15299	11401	19370	16258	17650	13469	19413	Senegal
48	Paper and paperboard; articles of paper pulp, of paper or of paperboard	20700	11997	14398	15800	14161	14080	14326	17081	12532	14305	14468	18936	Senegal
15	Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...	39272	67920	93848	34243	43131	51129	83016	35232	39016	62082	79929	17102	Senegal
69	Ceramic products	78	292	250	202	266	552	459	240	200	322	404	13541	Senegal
38	Miscellaneous chemical products	5671	10710	13715	14647	17077	12934	12148	17295	14447	13920	15752	12841	Senegal
20	Preparations of vegetables, fruit, nuts or other parts of plants	2865	1424	1507	7309	8269	5486	10297	8400	13910	9897	12137	11745	Senegal
52	Cotton	14158	21012	24330	21601	23575	22544	15503	14824	11512	13200	12007	10136	Senegal
04	Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...	12859	14298	20960	23683	41004	16806	13924	8418	6785	9395	5903	9873	Senegal
64	Footwear, gaiters and the like; parts of such articles	3517	3591	1981	1483	1743	2944	3535	2427	2757	5069	5747	9452	Senegal
29	Organic chemicals	2465	3679	4742	4207	3791	4677	3943	4359	4683	7271	6656	7731	Senegal
23	Residues and waste from the food industries; prepared animal fodder	7537	9006	13909	3526	12097	14581	12187	6272	4910	8147	7534	7608	Senegal
78	Lead and articles thereof	0	1003	5043	5632	6471	6510	3121	5712	7778	7194	7954	7326	Senegal
40	Rubber and articles thereof	1996	1682	2706	3474	3484	3037	4779	4328	5742	7388	5845	6744	Senegal
74	Copper and articles thereof	8087	8121	11012	11915	21814	20387	15874	11106	10435	6880	7400	6679	Senegal
18	Cocoa and cocoa preparations	2310	2426	7295	4728	5248	5949	5530	7285	7670	8368	7843	6638	Senegal
44	Wood and articles of wood; wood charcoal	1869	3054	5537	6795	6071	5363	5281	6526	7579	7954	5684	6246	Senegal
94	Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...	1904	3431	3264	4875	5954	3545	3221	8066	4699	3754	5115	6197	Senegal
11	Products of the milling industry; malt; starches; inulin; wheat gluten	3986	6006	5391	7390	7014	6984	9191	6304	5313	7008	5186	5872	Senegal
17	Sugars and sugar confectionery	1894	2113	4786	3027	2423	3374	3298	4048	8036	13540	6705	5348	Senegal
41	Raw hides and skins (other than furskins) and leather	3408	2723	6620	15919	27943	28107	18349	12300	14058	13835	6706	4629	Senegal
63	Other made-up textile articles; sets; worn clothing and worn textile articles; rags	11964	5898	6642	7122	5826	9765	2841	3084	2855	3345	3600	3706	Senegal
56	Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof	59	159	145	133	1416	2005	2462	2195	1949	3027	2910	3705	Senegal
88	Aircraft, spacecraft, and parts thereof	80227	863	845	8483	1809	827	1890	777	603	15845	3297	3607	Senegal
30	Pharmaceutical products	13334	10466	11257	13046	11801	13774	10943	20501	9218	11546	8163	3187	Senegal
46	Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork	2804	3330	2295	2904	4956	4258	4112	4046	5195	4053	3839	3169	Senegal
13	Lac; gums, resins and other vegetable saps and extracts	1523	1703	3441	3192	3639	3011	2567	2320	2651	1705	1218	2546	Senegal
62	Articles of apparel and clothing accessories, not knitted or crocheted	582	505	395	284	450	2795	676	600	882	262	358	2488	Senegal
82	Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal	947	912	1049	10551	1385	1412	5955	8852	8260	5240	1145	2406	Senegal
81	Other base metals; cermets; articles thereof	0	0	0	26	21	168	9	14	122	283	95	2336	Senegal
09	Coffee, tea, maté and spices	76	125	473	1031	2838	5774	3681	1447	1831	4300	2030	2322	Senegal
54	Man-made filaments; strip and the like of man-made textile materials	1496	698	839	767	1172	1754	1460	663	1280	1802	1675	2047	Senegal
70	Glass and glassware	1275	2084	2390	2408	2029	3003	2475	2439	1677	1991	1871	1898	Senegal
76	Aluminium and articles thereof	4787	4178	4850	2782	6305	5924	5118	2749	3855	3213	2317	1688	Senegal
90	Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...	3180	2105	1835	1280	785	1210	1383	1384	1910	2095	1355	1313	Senegal
96	Miscellaneous manufactured articles	986	668	550	420	441	572	439	673	555	518	708	1246	Senegal
32	Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...	2928	2665	1448	2266	1462	2447	1849	1799	1382	1458	1558	937	Senegal
49	Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...	1676	898	1430	1063	1150	1235	1631	2042	1033	1465	1769	900	Senegal
06	Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage	138	393	674	584	2825	1299	245	797	484	886	696	847	Senegal
35	Albuminoidal substances; modified starches; glues; enzymes	1928	2029	1543	1460	1942	1033	842	840	555	530	646	711	Senegal
86	Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...	230	136	218	3749	2233	952	1086	510	3328	357	1677	689	Senegal
61	Articles of apparel and clothing accessories, knitted or crocheted	294	161	391	229	217	334	307	299	289	177	283	658	Senegal
97	Works of art, collectors' pieces and antiques	1386	1523	2214	1143	1145	2281	849	821	2913	733	1772	476	Senegal
93	Arms and ammunition; parts and accessories thereof	953	1752	637	683	1321	1555	126	829	285	1446	3	324	Senegal
83	Miscellaneous articles of base metal	191	281	355	492	570	315	101	80	275	433	343	295	Senegal
36	Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations	338	943	2591	2061	512	1226	938	262	836	1679	1053	295	Senegal
68	Articles of stone, plaster, cement, asbestos, mica or similar materials	2005	1727	534	149	49	165	381	358	512	313	370	267	Senegal
01	Live animals	506	272	159	228	371	220	252	345	340	174	187	254	Senegal
02	Meat and edible meat offal	704	634	532	268	1061	448	142	386	1288	2528	1803	221	Senegal
05	Products of animal origin, not elsewhere specified or included	167	123	298	298	124	234	96	256	169	59	105	209	Senegal
95	Toys, games and sports requisites; parts and accessories thereof	203	122	333	26	62	132	95	216	71	53	100	90	Senegal
65	Headgear and parts thereof	38	28	22	73	227	720	11	279	161	57	5	77	Senegal
42	Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...	224	191	197	217	308	286	183	171	194	94	73	68	Senegal
57	Carpets and other textile floor coverings	2	29	39	14	10	45	9	49	29	27	17	64	Senegal
91	Clocks and watches and parts thereof	113	76	132	138	187	110	61	47	1294	9	374	49	Senegal
92	Musical instruments; parts and accessories of such articles	114	122	102	51	84	142	99	54	116	176	58	35	Senegal
47	Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...	0	0	0	0	2	0	177	24	60	74	201	31	Senegal
14	Vegetable plaiting materials; vegetable products not elsewhere specified or included	13	0	6	7	3	11	77	19	55	35	42	31	Senegal
58	Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery	1	16	8	6	6	10	2	52	23	0	28	25	Senegal
66	Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof	58	0	10	7	0	30	0	1	0	2	3	3	Senegal
59	Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...	15	26	6	5	244	13	5	45	6	5	0	1	Senegal
60	Knitted or crocheted fabrics	0	0	0	3	10	0	0	0	0	0	3	0	Senegal
75	Nickel and articles thereof	55	0	0	0	0	0	64	5	98	0	3	0	Senegal
45	Cork and articles of cork	0	5	0	0	0	0	0	0	0	0	0	0	Senegal
43	Furskins and artificial fur; manufactures thereof	0	0	0	0	0	0	3	0	0	0	1	0	Senegal
50	Silk	0	0	0	0	1	0	10	0	1	0	0	0	Senegal
51	Wool, fine or coarse animal hair; horsehair yarn and woven fabric	0	0	1	0	30	0	0	19	15	0	0	0	Senegal
53	Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn	87	0	0	0	0	0	1	0	0	31	69	0	Senegal
37	Photographic or cinematographic goods	1	38	10	2	19	0	7	1	4	0	1	0	Senegal
79	Zinc and articles thereof	36	33	97	134	90	127	35	0	55	0	9	0	Senegal
80	Tin and articles thereof	4	0	21	0	5	7	19	0	413	162	0	0	Senegal
TOTAL	All products	102142613	113883219	134906869	152461737	161480915	166504862	143844066	142606247	156992940	167923862	180870841	169657940	Turkey
87	Vehicles other than railway or tramway rolling stock, and parts and accessories thereof	12251734	13812677	15803438	15148114	17597373	18788121	17462623	19804384	23940852	26758524	26901683	22098148	Turkey
84	Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof	8132787	9413411	11560990	11999300	14253875	14969266	12333493	12405009	13825494	15827680	17763898	16797839	Turkey
85	Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...	6630701	7530130	8874013	9373078	10638897	10870623	8278952	7778954	8089893	8722854	9749875	9307365	Turkey
72	Iron and steel	7641010	8740067	11225329	11332482	9785707	9118083	6556742	6187046	8230403	11546435	10020302	8803211	Turkey
61	Articles of apparel and clothing accessories, knitted or crocheted	6925548	7731212	8385636	8418618	9362240	10127967	8927259	8855609	8840031	9043113	9206940	8387723	Turkey
39	Plastics and articles thereof	3093759	3716596	4580258	5012899	5769370	6277203	5358692	5027828	5474292	6042982	6805351	6971354	Turkey
71	Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...	5929025	3747222	3738763	16325215	7002594	7721879	11263502	12176573	10879244	7172319	7332841	6693436	Turkey
62	Articles of apparel and clothing accessories, not knitted or crocheted	4294831	4636123	5124460	5431268	6045828	6601176	5916617	5928894	5947844	6262454	6873999	6600585	Turkey
73	Articles of iron or steel	4545275	4850216	5748004	6093117	6290220	6447763	5465543	4967680	5598990	6533980	6689776	6363349	Turkey
08	Edible fruit and nuts; peel of citrus fruit or melons	3001898	3490879	3908880	3806416	4243759	4730483	4355444	3873872	3940007	3960605	4589918	4830425	Turkey
27	Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...	3921300	4469479	6539030	7708169	10117704	7500274	4518438	3207084	4327175	4411992	8449156	4715233	Turkey
94	Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...	1588862	1786405	2110174	2420661	2929315	3055601	2753346	2658941	2760343	3130600	3868865	3897049	Turkey
76	Aluminium and articles thereof	1399411	1916086	2285695	2251943	2383670	2636431	2370075	2238041	2512216	2995017	3116848	3060897	Turkey
25	Salt; sulphur; earths and stone; plastering materials, lime and cement	2164536	2509673	2465459	2480760	2738910	2556822	2252817	2191663	2572445	2616458	2784656	2801317	Turkey
40	Rubber and articles thereof	1468685	1895911	2593022	2424868	2535760	2670627	2165526	2203163	2494294	2822288	2905436	2656179	Turkey
57	Carpets and other textile floor coverings	1075386	1266828	1601798	1997286	2196705	2362678	2009356	1913135	2161753	2264274	2553899	2621045	Turkey
