Code	Product label	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Importer
66	Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof	4371	7986	10852	6787	6812	8431	9200	11292	12390	8796	5305	4310	Argentina
67	Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...	4809	6872	7876	6438	6127	5056	6838	6186	6836	7879	5571	3796	Argentina
06	Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage	4937	5460	7431	5935	5709	4815	6052	7350	8364	8664	6242	3494	Argentina
14	Vegetable plaiting materials; vegetable products not elsewhere specified or included	3438	4256	3185	2505	4075	4768	5617	6187	6273	7456	5807	3303	Argentina
78	Lead and articles thereof	3639	3452	2188	1645	1856	1442	1046	1347	1759	1449	865	2190	Argentina
46	Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork	2307	2937	4046	2505	4006	2314	2915	2798	3329	2949	1542	2038	Argentina
51	Wool, fine or coarse animal hair; horsehair yarn and woven fabric	9036	8375	9615	8744	8240	6811	6457	5174	4521	2701	2432	1433	Argentina
43	Furskins and artificial fur; manufactures thereof	809	2396	2241	1387	926	637	1238	506	526	930	429	929	Argentina
97	Works of art, collectors' pieces and antiques	1682	2983	3330	2999	1847	1367	491	1569	4375	3054	5761	428	Argentina
50	Silk	1891	2582	2554	2845	2244	2233	1974	1793	1033	815	196	198	Argentina
TOTAL	All products	1005555200	1396001600	1743394900	1818199200	1949992300	1959234625	1681670816	1588695867	1840957060	2134987265	2068950255	2055590612	China
85	Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...	243756119	314282498	350954252	381520999	439417537	424319488	431610860	414337517	455494791	521542155	496832132	548743322	China
27	Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...	123970041	188965812	275766337	313066988	315232252	316787667	198679762	175813094	247578520	347782297	343636632	267556481	China
84	Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof	123717219	172150025	199313752	181960039	170570903	179377721	157189653	147754410	169779652	202317919	190308746	191963813	China
26	Ores, slag and ash	69590904	109386524	150655638	133727965	148772300	134660947	95064522	93160255	125380730	135914467	163605608	180016125	China
90	Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...	66996321	89919369	99140733	106145649	107588269	105806107	99721428	92641354	97414143	102526375	98661866	99096789	China
87	Vehicles other than railway or tramway rolling stock, and parts and accessories thereof	28363242	49504235	65438574	70596739	74147799	89509494	69607641	71481212	79231361	81492534	75125428	73973876	China
39	Plastics and articles thereof	48513919	63704657	70198652	69424491	72390786	75190305	65609923	61006719	68949683	74867230	71578324	71041152	China
74	Copper and articles thereof	29513125	46183467	54251470	54516255	49828688	47278407	38388299	33236165	41196624	47646537	40807909	48548713	China
29	Organic chemicals	36163021	48263067	63131991	60864293	65876608	60312892	47878739	43865355	55761871	67391000	57806523	45557665	China
12	Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...	21005837	27061892	32020530	38582565	42626755	45887757	39817320	38274346	44497829	43371567	40158355	44962864	China
72	Iron and steel	27816485	25326244	28380643	23280399	21335562	21167203	18225686	16859864	21492507	22377160	23357497	36820912	China
30	Pharmaceutical products	6015012	7236105	10347763	12993175	15096015	17752095	19227237	20734931	25250504	27900028	33614184	34919392	China
