Importers	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	Exporter
Mauritius	63724	45834	71840	70392	55351	53404	43292	49604	46313	21080	25032	0	Argentina
Mongolia	1041	1803	3240	2440	376	954	1210	720	1949	0	79	0	Argentina
Namibia	3302	5333	6321	12333	3927	4691	1829	6825	3394	299	447	0	Argentina
Netherlands Antilles	62403	66033	0	0	0	0	0	0	0	0	0	0	Argentina
Niger	11695	15436	23478	13359	10565	20302	11311	4860	3106	1674	171	0	Argentina
Papua New Guinea	229	3	646	110	148	21	16	25	419	0	0	0	Argentina
Rwanda	40	415	1524	4494	63	183	211	1481	7239	0	0	0	Argentina
Saint Kitts and Nevis	271	244	286	226	5104	32	3	71	65	0	61	0	Argentina
Saint Vincent and the Grenadines	455	391	515	402	608	484	101	130	233	0	0	0	Argentina
Sao Tome and Principe	51	24	0	31	0	0	0	0	0	0	0	0	Argentina
Seychelles	186	49	105	441	537	266	442	403	142	33	0	0	Argentina
Sierra Leone	4577	1697	3889	2770	3213	6787	1511	1071	453	547	131	0	Argentina
Slovakia	1630	1296	3747	2591	1942	3555	4423	23671	29808	139	123	0	Argentina
Zimbabwe	401	1422	6681	13352	1524	545	348	107	30	0	0	0	Argentina
Sudan	0	0	0	20976	6914	6438	4861	20127	23152	0	0	0	Argentina
Sudan (before 2012)	21359	8268	8395	0	0	0	0	0	0	0	0	0	Argentina
Suriname	6734	8934	11607	10146	9889	7953	5766	3364	4736	985	79	0	Argentina
Eswatini	1073	909	0	0	0	56	25	40	70	0	0	0	Argentina
Togo	2677	2579	3184	4511	1697	493	274	220	318	533	313	0	Argentina
Tonga	34	20	0	0	0	0	0	0	0	0	0	0	Argentina
Burkina Faso	1162	1458	1994	1327	828	506	1190	932	3169	52	120	0	Argentina
Uzbekistan	3861	2801	2382	5958	20172	1965	47046	3997	216	0	0	0	Argentina
Samoa	34	0	0	0	0	0	0	0	0	0	0	0	Argentina
Zambia	652	328	708	2251	449	237	389	479	288	0	0	0	Argentina
World	1201646800	1577763800	1898388400	2048782200	2209007300	2342292696	2281855922	2118980582	2271796142	2494230195	2498569866	2590607686	China
United States of America	221295020	283780323	325010988	352438221	369063859	397099250	410804880	388145454	431664273	479701581	418584250	452576771	China
Hong Kong, China	166216920	218301360	267983737	323445330	384497867	363077144	334290810	292214997	280975081	302960301	279616724	272658016	China
Japan	97910966	121043965	148268708	151626581	150132589	149391340	135896918	129450377	137368622	147235099	143223969	142641690	China
Viet Nam	16300914	23101556	29091568	34212587	48586298	63730014	66381154	61585175	72117144	84015799	98004333	113813694	China
Korea, Republic of	53679877	68766311	82920308	87673764	91164951	100333451	101474642	94659513	102834413	109028749	110984862	112504010	China
Germany	49919564	68047133	76399999	69212732	67342500	72703049	69216821	65768897	71224289	77908711	79706091	86823917	China
Netherlands	36682225	49704161	59499691	58898785	60314752	64928516	59633422	57746634	67325060	73124185	73945370	79010191	China
United Kingdom	31277364	38767054	44122055	46296693	50942128	57141135	59667967	56261404	57039880	56987896	62275959	72605125	China
India	29666560	40913958	50536416	47677452	48432411	54217422	58262004	58920648	67925121	76880637	74924285	66726981	China
Taipei, Chinese	20505295	29674922	35109073	36777357	40634145	46276868	45055573	40400323	43934720	48656780	55079733	60141641	China
Singapore	30066363	32347238	35570137	40750209	45831865	48911175	53139141	45802680	45668183	49817841	54963720	57539954	China
Malaysia	19631939	23802061	27886048	36525700	45930593	46353388	44192327	38542312	41999160	45848412	52481738	56427589	China
Australia	20645567	27220264	33910013	37734920	37554163	39145950	40378582	37634374	41582543	47547551	48103594	53481792	China
Russian Federation	17513771	29612074	38903018	44056551	49591172	53676944	34809906	37506059	43149783	48005203	49484540	50584508	China
Thailand	13307098	19741222	25694604	31196768	32717904	34289228	38310626	37653331	38780758	42974256	45619577	50525507	China
Mexico	12298991	17872653	23975906	27517963	28966300	32255386	33809860	32447349	35954952	44129450	46377886	44850418	China
Canada	17675119	22216134	25266590	28125194	29216715	30003679	29426458	27642566	31570057	35532673	36827418	42108891	China
Philippines	8584708	11540277	14255388	16732210	19868125	23473577	26692700	30113525	32117391	35111186	40758536	41838752	China
Indonesia	14720624	21953565	29220944	34285244	36930490	39059606	34375284	32375905	34805909	43246345	45685377	41004370	China
France	21611741	27858709	30245913	27195963	26948466	28975791	27063408	25176549	28029290	31193002	33104056	37337685	China
Brazil	14118518	24460652	31836677	33413633	35895471	34890134	27428609	22064078	29078324	33731542	35476983	34955975	China
Italy	20244613	31145158	33694562	25657525	25754655	28759230	27852875	26488828	29234031	33266948	33414562	32944394	China
United Arab Emirates	18632296	21235461	26812848	29568343	33411295	39034507	37069274	30473260	28842011	29902887	33450538	32307071	China
Saudi Arabia	8977852	10366445	14849707	18452901	18739814	20575242	21683665	19266738	18320971	17560589	23924462	28098452	China
Spain	14077808	18178686	19723609	18240174	18931672	21501636	21899151	21546960	23014599	25064193	26825957	27538124	China
Poland	7561768	9438307	10939549	12386657	12574875	14256799	14346519	15170215	17916691	20944256	23906087	26735783	China
Belgium	10872790	14302162	18973831	16376700	15560178	17216405	16222593	14847680	15779441	17137810	18242346	20757207	China
Turkey	8333535	11942037	15613705	15585293	17746991	19305458	18630120	16807503	18143520	17864201	17321763	20356568	China
Nigeria	5475594	6696844	9205574	9296313	12042613	15393425	13715724	10063893	12215486	13500035	16634074	16776737	China
