Importers	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	Exporter
Canada	338193	479505	875221	1058281	973234	987063	670630	729731	1045597	1271686	986029	1005415	Turkey
Kazakhstan	633417	818900	947822	1068625	1155814	1086995	750109	624500	746244	695265	900182	985685	Turkey
Lebanon	688681	618318	718257	845970	1916417	864605	722646	734880	889313	898767	1111511	930695	Turkey
Tunisia	645767	713632	802302	796738	1029160	953229	819061	910720	912703	904663	886779	928098	Turkey
Portugal	408920	465228	445740	441102	634947	581702	558357	649735	811176	1108751	1147190	924650	Turkey
India	409202	606081	756082	791720	615900	618837	650319	652018	758560	1121412	1167120	889670	Turkey
Cyprus	772131	975768	1023964	1013552	1180485	1240552	1006082	908024	1097257	1225969	1298196	859980	Turkey
Yemen	379263	330392	272733	485937	612840	652577	395751	536764	571233	727306	969549	834791	Turkey
Hong Kong, China	229173	247717	425636	337239	440240	452356	345288	400253	628097	797182	743892	817945	Turkey
Turkmenistan	945655	1139825	1493336	1480052	2050248	2367646	1857852	1245509	1037980	467202	744766	786966	Turkey
Norway	388950	343911	379523	450621	625039	562088	454015	559266	546713	513095	729179	733415	Turkey
Australia	304983	336488	410549	421731	614524	544176	521308	633455	538220	687105	661157	726892	Turkey
Ireland	294769	339265	354004	347199	383576	476319	466754	494938	527039	754126	620013	654718	Turkey
Pakistan	162514	248147	213672	276127	385266	472485	289155	346956	352166	462207	550214	620162	Turkey
Nigeria	257481	250602	393837	438767	473174	510156	313984	241609	335424	346298	595924	610888	Turkey
Belarus	119172	186508	232680	264365	317723	285301	205139	357598	422011	439279	543278	602814	Turkey
Brazil	388207	614551	883471	1002759	965356	819011	458367	334398	384904	489891	495062	588818	Turkey
Jordan	455352	571334	506839	770982	770730	947525	834760	711037	682477	860870	667334	585521	Turkey
South Africa	866774	369235	510523	381772	671335	593238	489167	405990	485070	534230	569570	574115	Turkey
Kuwait	211242	395051	297207	290582	343104	407282	482553	431386	439863	533895	557563	556181	Turkey
Slovakia	217408	454744	402151	391760	462835	528450	545752	384345	387191	531635	598896	549954	Turkey
Mexico	93023	145500	144986	205999	276933	343141	344059	443852	441433	600402	668356	538630	Turkey
Oman	105518	129311	214651	268460	389730	494773	324571	243824	221411	422235	634475	525283	Turkey
Ghana	72851	96484	218560	223502	186845	187212	219599	298478	224551	275116	374340	477530	Turkey
Albania	273110	241066	270630	255950	321519	327919	287375	304611	387116	408708	487345	475393	Turkey
Bosnia and Herzegovina	226567	224299	268942	251523	278861	325564	292572	309346	348618	420223	453577	446584	Turkey
Japan	232841	272219	296413	331762	417352	380662	334814	354568	411531	479384	510076	441134	Turkey
Malta	664109	410433	899715	919083	959443	1036147	494002	238431	539957	479922	955346	432449	Turkey
Kyrgyzstan	140002	129202	180241	257470	432301	467514	294702	308944	343600	377073	442091	417547	Turkey
Macedonia, North	283464	262621	298861	274497	302840	355262	324613	378097	360253	396838	408908	415936	Turkey
Croatia	214705	249148	241816	200575	263623	300201	251652	278440	313830	404614	442109	390616	Turkey
Malaysia	139110	224843	182587	165474	281502	324467	357083	321585	286255	365406	354238	381913	Turkey
Sudan	0	0	0	279612	300279	331378	424555	461767	397699	363614	310659	381754	Turkey
Finland	196465	296774	352886	301593	304348	333895	266063	292397	297218	338895	335043	370390	Turkey
Senegal	95267	83314	155021	128374	124356	169527	128206	154422	243641	389023	288907	361226	Turkey
Bangladesh	133819	169522	132200	214168	271685	250916	199887	263955	294544	372795	427191	349062	Turkey
Singapore	349441	594027	840072	443632	371580	391523	432551	417217	678886	438020	750386	343498	Turkey
Moldova, Republic of	118090	148209	208885	224464	297650	319916	201607	262384	284649	266170	343381	335118	Turkey
Marshall Islands	108602	80521	142245	83354	121800	210315	79255	116824	155127	156723	175558	332388	Turkey
Djibouti	42282	30788	45491	88690	71259	61385	98249	77949	102506	196648	255695	319971	Turkey
Côte d'Ivoire	59522	47926	65773	76563	89274	94986	115498	109878	142409	174452	227663	307906	Turkey
Lithuania	151505	208277	274194	275950	416174	367283	300249	258624	301633	275706	258717	305898	Turkey
Chile	37435	81222	130616	174852	225943	203334	187919	217166	254626	386206	356982	280428	Turkey
Somalia	3546	4810	39548	43751	61239	63728	71035	115882	142946	181369	256528	272762	Turkey
Viet Nam	189112	106203	100090	90104	112960	175762	155449	234123	237275	308676	351524	244322	Turkey
Venezuela, Bolivarian Republic of	36420	44171	84232	156268	76949	52636	18681	18034	37483	120531	131557	236266	Turkey
Taipei, Chinese	129931	137051	163740	119462	119801	142781	157067	138819	204462	269068	256925	235903	Turkey
Peru	61947	159272	286800	246410	277935	290112	197098	86274	108524	162359	180920	231530	Turkey
Ethiopia	229030	174843	275492	394619	371207	336140	383596	404420	338514	320870	380905	231386	Turkey
Kenya	70094	86360	199203	138001	150329	135697	131265	127906	152256	207789	230509	228005	Turkey
Colombia	36044	52863	111367	152131	137533	184418	185914	185156	184675	241542	255911	216524	Turkey
Indonesia	248791	250772	307971	243621	260161	236761	207001	253901	236667	270443	289373	213807	Turkey
Afghanistan	235203	259791	275969	289915	248879	200096	161492	145788	172300	145410	156475	207835	Turkey
Bahrain	113628	172024	160418	208520	201453	213518	225296	193283	227469	298682	266497	201643	Turkey
Tanzania, United Republic of	55281	89319	170772	130560	144662	153763	116380	95547	115828	225347	226103	200347	Turkey
Thailand	131632	220005	125189	176360	236665	221921	174099	164144	165702	278461	270592	184010	Turkey
Angola	151698	109119	220581	234516	286056	306773	195884	128864	186473	229993	214875	183069	Turkey
Liberia	177140	67460	61254	104369	143343	132089	79860	64670	118616	137485	222331	177796	Turkey
Tajikistan	126364	143890	172575	234947	309023	303379	162783	151671	155863	177098	156608	173711	Turkey
Panama	94975	140632	217072	225062	234931	231902	166125	96046	197813	238076	255842	171515	Turkey
Haiti	11771	20612	22795	20690	29360	37572	22582	21751	86278	101988	132150	164398	Turkey
Cameroon	50261	48613	105490	115651	108870	117446	83320	66553	97965	153661	156637	158859	Turkey
Argentina	73734	179216	214104	316482	320869	156696	118307	127097	159288	169281	178268	153795	Turkey
Togo	31771	30548	60000	254939	94664	58908	45087	34139	58935	72761	99512	141681	Turkey
Guinea	13472	27689	39184	54748	134682	68343	65037	62323	95758	106799	136921	135971	Turkey
Dominican Republic	24347	29953	42096	45031	46127	66417	40357	40315	68108	101643	123809	124978	Turkey
Mauritania	22813	37444	75555	110737	106105	95837	97159	73206	86736	135459	168387	119731	Turkey
Benin	28587	116690	86572	79062	132783	100733	79920	84315	92899	113658	130979	117883	Turkey
New Zealand	56591	64153	67787	67923	72862	89508	90100	95685	104038	110153	112909	104879	Turkey
Latvia	64952	65958	115955	127367	179990	206408	173090	196996	127385	125662	126589	104716	Turkey
Gibraltar	169538	151858	171115	109526	118652	156324	18521	70451	142988	153485	95216	104501	Turkey
Montenegro	26483	27179	26966	29131	33012	36005	38297	51807	60087	79414	131552	103148	Turkey
Philippines	84133	70803	100612	144196	177922	141634	103874	106680	132960	176929	123874	101192	Turkey
Luxembourg	19458	25758	53757	51870	60985	70329	36587	59924	35728	66606	70733	97613	Turkey
Area Nes	446056	11316	9871	5487	54502	68872	9293	20267	12254	7981	77273	87258	Turkey
Palestine, State of	29523	40305	49092	62696	79565	92131	82224	94595	87460	77569	67595	87062	Turkey
Estonia	105984	90324	132005	168679	202271	179842	117825	171580	105824	91706	90424	79158	Turkey
Sri Lanka	31510	32035	42081	37405	38935	56275	51180	51643	70921	119050	84367	77476	Turkey
Mozambique	24496	46038	102553	36378	47047	52148	43845	24213	25353	48634	87857	76696	Turkey
Sierra Leone	15729	24464	25642	35865	47510	46235	43957	39680	50581	52536	60547	76591	Turkey
Jamaica	16559	22751	21928	41776	36178	46763	18352	17415	51050	75068	91302	76290	Turkey
Trinidad and Tobago	19452	24954	24141	36220	43187	50299	35347	30222	50691	74135	78369	76007	Turkey
Mauritius	18510	22496	44543	35550	41663	38637	34295	35521	65164	69431	75059	74590	Turkey
Madagascar	19296	27013	51213	56817	59809	54372	53746	59338	73245	80437	72081	73862	Turkey
Mali	8870	9925	18084	19283	23295	33881	30383	64745	52204	53616	49161	69552	Turkey
Burkina Faso	6134	10298	14583	12816	20747	26068	21696	24681	27261	53028	32660	66061	Turkey
Gambia	20720	20697	40350	35097	34767	21988	15977	18195	38399	45515	53533	62471	Turkey
Congo	39965	45431	78220	92129	95050	100681	126420	103356	57400	51728	60347	60744	Turkey
Niger	11005	14741	24474	38954	46551	35519	31297	23906	38162	56266	75597	58875	Turkey
Congo, Democratic Republic of the	14444	13870	31777	23863	39359	41073	32143	25741	27070	35468	54468	57341	Turkey
Guatemala	10022	16308	25218	27623	19825	20759	24306	30792	38554	44942	53638	54486	Turkey
Uganda	10327	13566	24192	22540	23733	26629	22085	20973	23696	29711	33575	53836	Turkey
Paraguay	7385	24813	25901	12097	21492	32259	17292	19003	29573	39408	48106	52333	Turkey
Myanmar	11647	19094	13293	5435	25190	38434	30738	27254	31750	58306	45295	52060	Turkey
Gabon	13946	18906	29972	52512	95809	58016	66285	23965	40184	30657	73173	51575	Turkey
Uruguay	10545	31676	30079	45594	45439	131727	45889	37099	41719	44881	48463	51567	Turkey
Costa Rica	7288	7554	10195	20312	34842	49121	48025	46908	51557	60804	56313	48522	Turkey
Ecuador	16461	35131	50122	51306	80448	83014	37382	38451	38268	57201	63806	42944	Turkey
Chad	4956	3323	5855	9739	13465	19355	17453	18533	17734	31567	40328	41485	Turkey
Honduras	5299	4606	5468	12882	10044	8524	8527	7070	13827	27336	16389	40554	Turkey
Nepal	5104	8605	14235	3231	3413	22102	47247	10005	39885	53119	56078	38836	Turkey
Equatorial Guinea	20095	32742	63361	75766	73966	65014	45739	23611	21583	31276	26930	38823	Turkey
Mongolia	5629	11151	43423	35883	53125	37046	23124	24218	24426	33850	41645	31827	Turkey
Guyana	2980	5498	9265	14970	13882	12742	10845	10065	22895	24969	31823	30248	Turkey
Rwanda	7547	7993	5946	19935	9761	38390	30322	29562	42592	20897	33034	27479	Turkey
El Salvador	5031	2105	772	2018	3240	2509	4433	5623	25694	17570	14845	25239	Turkey
Cambodia	5563	4490	3916	5200	12239	12114	13667	14177	17472	15553	23965	25018	Turkey
Cuba	10470	15264	9529	10091	14036	13041	10064	6277	20422	32381	44606	24992	Turkey
Maldives	6639	7492	7908	7137	5928	7837	18208	35651	39517	64447	28200	24864	Turkey
Suriname	3098	3071	4822	6257	5488	12611	16613	8411	12404	15223	18265	22066	Turkey
Bolivia, Plurinational State of	3341	5872	9571	11957	16907	18303	15513	14550	21100	20492	23286	21889	Turkey
Bahamas	5935	6300	7671	10542	12011	15911	13462	9950	9783	14695	88544	20942	Turkey
Zambia	2704	6033	6198	12964	22327	22437	28934	14294	16603	15370	20121	20911	Turkey
Iceland	6246	7454	13746	15996	14529	18874	67508	26706	199722	23862	23441	18828	Turkey
Seychelles	2752	4439	13856	9175	10455	9545	7693	6220	6853	13346	17706	17914	Turkey
Saint Vincent and the Grenadines	39790	6165	5958	7177	15900	23885	21495	3496	3426	4931	4973	17566	Turkey
Zimbabwe	838	2247	5380	8435	7911	5007	4385	4632	5354	11769	6023	15347	Turkey
Comoros	2813	3077	15200	5367	5078	6833	4721	4827	6124	10932	13668	14223	Turkey
British Virgin Islands	195043	74652	17926	34011	81018	18925	11418	36235	56079	3836	26021	13556	Turkey
Barbados	3852	4821	4833	4017	3094	8395	4359	5410	5427	6436	10396	12760	Turkey
Nicaragua	2236	1352	6546	8067	6505	3769	3646	4036	10857	14800	11590	12167	Turkey
Eritrea	2698	6828	7029	4996	1318	6285	13859	15666	13649	8269	13933	9913	Turkey
Guinea-Bissau	859	2514	2460	2188	5335	6622	5432	4120	3829	4465	4250	8256	Turkey
New Caledonia	1899	3258	3992	4949	5886	5157	6295	4980	5787	9914	10979	8044	Turkey
Cayman Islands	51417	38246	15912	18291	133293	40405	43973	17725	20637	20316	40475	7187	Turkey
Antigua and Barbuda	3403	3725	3252	7852	10778	15819	7697	4560	5517	7618	13560	6910	Turkey
French Polynesia	708	1171	1308	1270	1743	1246	1167	2946	3398	5864	9430	6601	Turkey
Fiji	311	1056	1218	1585	1064	914	1064	833	1423	2303	1861	5761	Turkey
Cook Islands	57	1948	2420	675	3928	7367	8048	6903	5387	7525	8200	5525	Turkey
Cabo Verde	4914	5844	5581	4410	7140	6681	5163	4206	4237	5115	9373	5468	Turkey
Saint Helena	11	0	9	0	0	0	0	0	0	11	13	5179	Turkey
Belize	1546	2343	3436	6106	15626	21136	6967	5659	4667	9609	10642	5085	Turkey
Papua New Guinea	1737	2353	2120	4862	4830	3961	2587	1631	5699	5144	5256	4891	Turkey
Botswana	155	616	1133	1738	2859	1885	1261	2905	1859	1516	2840	4778	Turkey
Namibia	1484	3458	2229	3995	3022	9599	83690	40309	55438	22967	9402	4248	Turkey
Macao, China	425	234	209	291	7498	7563	6891	5666	255	1000	17866	3556	Turkey
Vanuatu	1303	1010	1074	1419	6043	1306	1550	431	1457	2082	2659	3077	Turkey
Central African Republic	604	1041	32490	1585	1438	6165	790	800	1743	2881	4063	2995	Turkey
Burundi	2073	4387	5959	4153	1523	2518	2510	1866	1973	2508	2669	2898	Turkey
Malawi	2134	3403	2220	3731	5433	2931	2822	2213	2745	5909	5005	2847	Turkey
Sao Tome and Principe	453	473	1352	383	504	519	511	737	1010	1810	2390	2628	Turkey
Saint Kitts and Nevis	3242	3341	5883	11788	9901	9312	4031	3492	2273	7022	6310	2563	Turkey
United States Minor Outlying Islands	265	483	1122	1371	1952	1946	2012	2532	3372	1710	10170	2416	Turkey
Saint Lucia	227	241	300	543	807	632	1077	1565	1948	3006	3012	2298	Turkey
Brunei Darussalam	828	590	6616	869	5533	5527	4869	8122	1346	2568	4581	2006	Turkey
Lao People's Democratic Republic	395	1243	3996	2917	5953	4838	1437	2244	1355	8283	7758	1922	Turkey
Palau	0	4	0	2	430	1006	1036	665	1107	1629	2160	1850	Turkey
Dominica	693	2103	740	1196	1136	580	640	518	531	1330	1698	1616	Turkey
Aruba	250	412	620	978	300	714	640	904	1031	1356	1574	1392	Turkey
Grenada	212	223	471	2776	765	305	777	699	1464	1201	1942	1167	Turkey
Turks and Caicos Islands	755	255	216	5	0	89	71	146	74	988	763	1012	Turkey
Samoa	0	42	45	108	1103	757	507	971	1044	540	838	972	Turkey
Armenia	2	16	218	241	134	24	0	1	13	5	19	872	Turkey
Faroe Islands	257	165	203	343	480	103	121317	222	265	672	246	752	Turkey
Wallis and Futuna Islands	12	12	12	11	153	21	16	18	17	31	161	604	Turkey
Falkland Islands (Malvinas)	36	37	25	2	4	26	15	0	0	2	136	557	Turkey
Timor-Leste	70	2	7	4	72	51	31	66	74	27	0	477	Turkey
French Southern and Antarctic Territories	63	99	137	132	607	184	114	31	653	60	67	463	Turkey
Bermuda	824	830	679	987	724	1322	1030	784	850	1203	1586	441	Turkey
Eswatini	16	98	638	164	1594	766	1133	548	1185	1253	156	440	Turkey
Lesotho	617	556	549	503	497	178	251	347	1418	2904	1624	408	Turkey
Korea, Democratic People's Republic of	2459	665	100	240	6417	6305	4661	635	71	79	631	331	Turkey
Andorra	573	333	477	350	408	556	940	500	269	552	345	304	Turkey
Tuvalu	57	11	70	213	234	988	433	343	289	654	1165	279	Turkey
Anguilla	264	29	113	173	253	82	210	109	96	498	495	255	Turkey
Tonga	25	113	409	171	458	521	353	225	223	195	202	252	Turkey
Solomon Islands	166	43	0	9	20	43	346	18	34	30	186	180	Turkey
Kiribati	9	98	41	306	218	657	159	50	171	17	41	166	Turkey
Greenland	35	10	47	21	21	1	30	51481	38	30	50	152	Turkey
British Indian Ocean Territory	1	30	0	180	169	258	257	529	276	129	205	72	Turkey
Curaçao	0	0	25716	5160	39324	5980	4802	4376	353	0	40	54	Turkey
Sint Maarten (Dutch part)	0	0	0	0	0	0	0	0	0	0	0	46	Turkey
Micronesia, Federated States of	0	0	0	0	10	18	0	18	30	3	0	35	Turkey
Niue	0	0	0	0	0	0	0	0	0	35	105	20	Turkey
Norfolk Island	0	0	0	8	0	0	0	0	0	0	0	11	Turkey
St. Pierre and Miquelon	4	0	2	22	72	38	6	7	0	0	8	10	Turkey
Bhutan	65	93	58	28	59	72	28	98	61	186	97	7	Turkey
Christmas Island	9	0	0	0	112	0	0	0	0	4	0	3	Turkey
Cocos (Keeling) Islands	0	3	0	2	0	124	27	3	0	2	0	0	Turkey
Nauru	0	0	0	0	0	0	2	0	0	0	0	0	Turkey
Africa not elsewhere specified	0	0	77	289	546	2	0	0	0	0	0	0	Turkey
Northern Mariana Islands	0	0	0	0	0	0	41	5	644	0	29	0	Turkey
Free Zones	1957066	2083788	2544721	2294934	0	0	1906804	1837475	1994504	2186254	0	0	Turkey
Mayotte	2645	2366	3388	3807	6103	0	0	0	0	0	0	0	Turkey
Montserrat	0	0	0	0	0	0	0	1	0	0	0	0	Turkey
Netherlands Antilles	4390	19582	0	0	0	0	0	0	0	0	0	0	Turkey
Sudan (before 2012)	247190	227743	243723	0	0	0	0	0	0	0	0	0	Turkey
World	1056712100	1278099187	1481682200	1544932000	1577587300	1619742900	1503328350	1451459684	1547195403	1665688484	1642820352	1424934919	USA
Canada	204720827	249248666	281237169	292567767	300685611	312371471	280855169	266734465	282773830	299731712	292820258	255392345	USA
Mexico	128997663	163664583	198288689	215875039	226070227	240247090	236460137	230228834	243608975	265944976	256315828	211481021	USA
China	69575613	91910977	104121383	110516536	121721076	123675623	115873365	115594784	129997227	120289288	106448372	124485431	USA
Japan	51178320	60469046	65791777	69971995	65213790	66825973	62387810	63247049	67603375	75149289	74497004	63756412	USA
United Kingdom	45707871	48328089	56009021	54853629	47339021	53808147	56094706	55197491	56262428	66454485	69066568	58429779	USA
Germany	43220925	47994836	48939215	48372035	46862995	49028160	49978834	49568741	53965425	57757839	60069154	57432850	USA
Korea, Republic of	28639748	38820633	43461394	42282529	41686042	44470809	43483975	42262187	48356287	56310345	56504091	50965213	USA
Netherlands	32346735	37681975	43412845	40617368	42505242	43067033	40211652	39645357	41499803	48560472	50999792	45304856	USA
Brazil	26175324	35417484	43018839	43771024	44092977	42427834	31640538	30193264	37330688	39408580	42866313	34594964	USA
Taipei, Chinese	18432346	26049999	25929814	24336124	25470045	26670065	25826013	26033903	25735823	30479674	31204903	30219093	USA
France	27043697	27724343	28859448	31925500	33864704	32449632	31417313	32637764	34220254	37625953	38414204	28205524	USA
Belgium	21629705	25457983	29990461	29434612	31920917	34771811	34173801	32099636	29923316	31409587	34728200	27568079	USA
India	16462437	19248887	21542181	22105715	21811337	21607499	21452909	21647178	25647818	33191061	34221377	27080305	USA
Singapore	22278009	29008535	31261590	30499151	30621735	30204822	28480840	26815585	29649147	32881161	31193684	26929230	USA
Hong Kong, China	21117126	26566570	36375363	37437333	42321051	40822125	37182747	34895360	39854770	37310821	30788099	23848948	USA
Australia	19604111	21808100	27623034	31145607	26110918	26494856	25033316	22145065	24519387	25333736	25867258	23381674	USA
Italy	12247849	14226944	16041699	16102399	16757922	16973822	16219726	16728929	18395431	22845460	23707239	19887105	USA
Switzerland	17478819	20711347	24480073	26363312	26493077	22133642	22189716	22821660	21723642	22221553	17975604	18105632	USA
United Arab Emirates	12106581	11660748	15913667	22552553	24446087	22061768	23001078	22384471	20078561	19497127	19974298	14721419	USA
Spain	8750695	10355446	11031475	9551879	10243776	10200239	10310081	10401218	11070994	13064269	15340702	12856239	USA
Chile	9365333	10906675	15993031	18773079	17517675	16512735	15448915	12936511	13632844	15312340	15709110	12482959	USA
Malaysia	10401451	14079148	14263433	12814764	13003614	13067717	12277706	11774179	12871803	12951984	13187775	12295586	USA
Colombia	9457772	12067662	14335692	16356797	18369302	20106598	16302185	13047286	13373918	15113876	14750447	11913533	USA
Thailand	6920200	8976296	10929767	10887757	11797150	11809675	11228763	10501044	11033497	12520515	13303146	11276515	USA
Saudi Arabia	10803684	11505551	13923665	17961238	18960148	18704865	19791575	17993678	16355446	13597010	14482987	11109264	USA
Israel	9567807	11295014	13961616	14273473	13742185	15081785	13539212	13199442	12547573	13709277	14402554	10188223	USA
Turkey	7088987	10538482	14695214	12474727	12073352	11645441	9519510	9354232	9772449	10254045	10031193	9986225	USA
Viet Nam	3107586	3705549	4315220	4622883	5036143	5734357	7100572	10098439	8134093	9675575	10821544	9912050	USA
Ireland	7516394	7274602	7655739	7391887	6631969	7805934	8930614	9565391	10707688	10744480	9052318	9575272	USA
Philippines	5772849	7376713	7727871	8087356	8403503	8453324	7903090	8193676	8450627	8716048	8641029	7738751	USA
Peru	4925182	6749503	8341848	9348621	10119124	10053610	8723969	7926941	8674699	9694724	9658321	7575959	USA
Dominican Republic	5269883	6579217	7325686	6967115	7155518	7922141	7114647	7750713	7851737	8953254	9205018	7514606	USA
Indonesia	5106426	6947847	7421406	7997976	9096785	8284067	7118133	6024281	6863641	8170937	7731259	7395649	USA
Argentina	5559717	7386784	9892037	10258027	10348310	10825715	9361857	8526706	9603661	9907686	8145478	5914992	USA
Guatemala	3900714	4476841	6151170	5748945	5552497	5963671	5821086	5834843	6863758	6639004	6799877	5835297	USA
Costa Rica	4704373	5178268	6099237	7236638	7223400	6964076	6044943	5864709	6145854	6470151	6217845	5689743	USA
Panama	4357705	6064986	8246942	9822506	10557240	10462658	7668880	6069072	6289883	6733398	7536459	5659952	USA
Poland	2304441	2982766	3142733	3346207	3778086	3650163	3715464	3644370	4523433	5358072	5955364	4955495	USA
Russian Federation	5382808	5993665	8318439	10695291	11144526	10752773	7086515	5831103	7002917	6658002	5784559	4886853	USA
Sweden	4563588	4736984	5259594	5247918	4318268	4337879	3939002	3804733	3734519	4471113	4367183	4770965	USA
Egypt	5257586	6832542	6228229	5498320	5175346	6472585	4758797	3485904	3990353	5052375	5498014	4663396	USA
South Africa	4460552	5631634	7271228	7552736	7293060	6368196	5457293	4599958	5050645	5530839	5367159	4374151	USA
Honduras	3384032	4606444	6166366	5714670	5373025	5960551	5216351	4827613	5068358	5593598	5419480	4202536	USA
Ecuador	3923963	5409017	6059785	6690073	7648703	8129379	5818404	4163586	4831879	5902963	5569457	4132909	USA
Austria	2466033	2335947	2779878	3365118	3477687	3793502	4024271	3795692	4274565	3563919	5708822	3429524	USA
Qatar	2720183	3159770	2806682	3577715	4958347	5173424	4222428	4926697	3123876	4428220	6456797	3410729	USA
New Zealand	2159433	2819063	3506792	3125315	3220332	4255675	3630673	3575016	3923286	4060168	3946988	3195463	USA
Czech Republic	969740	1409644	1684361	1832280	1943336	2302337	1977042	1965881	2272004	3003282	2790557	2972744	USA
Denmark	2058490	2132447	2247928	2224433	2231000	2360681	2202791	2238325	2210898	2608052	3194568	2941014	USA
Pakistan	1624888	1901072	1988748	1530065	1645795	1512132	1837957	2107772	2808081	2852148	2648163	2911769	USA
Bahamas	2455313	3177977	3441973	3479067	3450323	3324418	2386947	2096790	3063604	3020573	3357786	2804911	USA
Nigeria	3658008	4060548	4904789	5029335	6388833	5967789	3431360	1894688	2173817	2687381	3198077	2802207	USA
Norway	2752927	3107404	3628450	3501180	4618055	4423773	3570794	3919971	5453066	5427066	3897008	2781597	USA
El Salvador	2018499	2430365	3357079	3070529	3262029	3295875	3248766	2918605	3071562	3391306	3365784	2583802	USA
Trinidad and Tobago	1989107	1924925	2185138	2477826	2404157	2411034	2511636	2341456	1817043	2117849	2816831	2400559	USA
Morocco	1606101	1947614	2823307	2170397	2483741	2102226	1624803	1932700	2218491	2999798	3501600	2301438	USA
Kuwait	1951751	2774767	2749652	2681907	2597569	3648587	2740651	3295942	5097990	2974435	3170867	2218620	USA
Hungary	1231685	1290393	1479338	1566157	1726911	1842762	1715272	1844504	1888147	1750443	1914212	2110822	USA
Ukraine	890069	1348816	2136786	1935417	1924759	1239813	862159	1076685	1788339	2486998	2457369	1907963	USA
Bangladesh	434896	575698	1144148	508181	708816	1113364	942520	905731	1473825	2081527	2339320	1851853	USA
Jamaica	1448305	1661397	1934143	1989289	1979637	2181990	1716058	1649744	2111177	2611421	2479375	1661940	USA
Portugal	1085269	1057862	1315990	1097096	844359	1135635	942301	967411	1192557	1572596	1715572	1658075	USA
Finland	1665564	2179532	3158716	2566156	2349033	2150014	1559846	1497740	1509538	1880977	1767688	1575797	USA
Nicaragua	715043	981364	1058585	1128213	1059654	1008621	1267399	1479944	1586962	1629047	1618327	1424117	USA
Haiti	791683	1208577	1058949	1050230	1226730	1276652	1140569	1090781	1422755	1413551	1262211	1397929	USA
Greece	2475730	1106426	1130970	804137	739039	773187	725599	746607	954256	1084344	1442109	1373727	USA
Luxembourg	1292117	1439674	1585845	1903125	1848773	1516207	1393819	1446279	1078266	1084259	1921647	1351922	USA
Jordan	1193406	1172175	1449688	1766366	2084046	2050389	1359622	1458957	1920655	1581427	1492356	1318933	USA
Paraguay	1352587	1810054	1972071	1740963	1932852	2115641	1491696	1970328	2712675	2256468	2108012	1267396	USA
Uruguay	744419	975277	1258319	1359233	1754688	1605794	1295136	1114385	1587679	1384265	1616175	1217057	USA
Venezuela, Bolivarian Republic of	9359767	10644796	12383399	17516968	13201209	11137707	8343600	5214302	4127237	6073913	1302132	1130314	USA
Oman	1087468	1105210	1436647	1746917	1571254	2015912	2355322	1803273	1984164	2415174	1936844	1129864	USA
Lithuania	408030	628120	1141936	756984	854290	681146	528184	463690	609280	706489	933844	1020934	USA
Romania	671568	729793	918552	832745	746523	977462	753748	696239	954074	1114076	948895	922121	USA
Ethiopia	275975	773160	689891	1274672	688508	1668976	1555249	826095	877154	1308202	1010789	910939	USA
Bahrain	668597	1235145	1214407	1176914	1017912	1059758	1270681	899139	897933	2042299	1406459	884911	USA
Ghana	634258	989339	1199087	1322495	982393	1186244	949975	831984	859526	768789	840131	828772	USA
Gibraltar	1559883	1494145	3148591	5109058	3576385	2530894	1979388	1634174	1139920	1358328	1258657	828358	USA
Iraq	1774844	1643064	2400365	2053842	2021734	2105746	1973385	1266311	1204858	1312053	1189169	770125	USA
Cayman Islands	643672	581647	615753	667000	679737	812722	684937	753211	885914	951675	1125031	753043	USA
Algeria	1108769	1194325	1596975	1363163	1848704	2616993	1875733	2191262	1062352	1261034	1000468	725193	USA
Curaçao	0	0	484201	691942	687699	611834	1262684	1591701	1258316	1395688	1098757	683324	USA
Lebanon	1440957	2009038	1807312	1039943	1034282	1268529	1286046	1170320	1221296	1327790	1004206	677615	USA
Afghanistan	1511460	2151401	2921862	1521555	1409639	792389	478712	913874	942232	1227404	757769	670663	USA
Guyana	260705	290703	363441	359571	318388	369961	368134	444444	377451	540902	671829	654544	USA
Saint Lucia	136081	401511	315651	376958	594312	693802	515415	438801	555619	590070	821602	621032	USA
Kazakhstan	599471	730287	827133	883647	1150149	1008954	510475	1111379	552347	729341	740216	508939	USA
Barbados	404689	397392	439877	458568	452156	539917	595422	481879	527328	583660	567735	504736	USA
Angola	1422873	1293491	1503223	1490579	1443439	2039125	1166095	1249758	809493	524980	534698	469988	USA
Bermuda	807388	636554	608944	622417	537364	646392	600833	628261	693646	611305	578450	459457	USA
Bolivia, Plurinational State of	431679	507981	667847	763010	1050758	1009968	931791	657281	594634	560384	552268	447110	USA
Georgia	363808	300878	580009	541253	601253	627537	340496	324437	382865	477647	768527	435979	USA
Tunisia	502111	572781	597008	614866	870178	831402	602417	526955	544452	597395	460657	428995	USA
Belize	252783	289388	355663	265606	241173	236703	285287	267001	294755	406621	405906	395104	USA
Bulgaria	224726	170882	258590	248545	307323	358777	289480	269019	381445	370051	462451	375066	USA
Kenya	654377	375349	461442	568584	635689	1640899	943454	397473	453959	365422	401300	372172	USA
Sri Lanka	229525	178740	303376	223950	311912	350340	361950	367855	336249	371389	389999	359155	USA
