Decision Tree Pred 2020	Decision Tree Pred 2021	Exported_value_in_2009	Exported_value_in_2010	Exported_value_in_2011	Exported_value_in_2012	Exported_value_in_2013	Exported_value_in_2014	Exported_value_in_2015	Exported_value_in_2016	Exported_value_in_2017	Exported_value_in_2018	Exported_value_in_2019	Exported_value_in_2020	Exporter	Importers	Lineer Reg Pred 2020	Lineer Reg Pred 2021	Poly Reg d3 Pred 2020	Poly Reg d3 Pred 2021	Random Forest Pred 2020	Random Forest Pred 2021	XG Boost Pred 2020	XG Boost Pred 2021
7163.0	7163.0	12510.0	8786.0	12940.0	11069.0	12663.0	9095.0	9624.0	9545.0	11170.0	7679.0	7163.0	6923.0	Argentina	Hungary	7883.0	7496.0	5718.0	3855.0	7555.0	7555.0	7258.0	7258.0
3317.0	3317.0	2331.0	1532.0	2292.0	29411.0	2084.0	1464.0	1523.0	1981.0	2049.0	3652.0	3317.0	990.0	Argentina	Iceland	2363.0	1974.0	12633.0	24404.0	3153.0	3153.0	3319.0	3319.0
1843917.0	1843917.0	648331.0	1321491.0	968773.0	1186810.0	1089096.0	1810469.0	2003132.0	2208521.0	2080801.0	1474973.0	1843917.0	2118078.0	Argentina	India	2215232.0	2332372.0	1205553.0	543724.0	1829646.0	1829646.0	1836633.0	1836633.0
1579219.0	1579219.0	603956.0	852442.0	1366929.0	1549439.0	1469194.0	1239639.0	1079289.0	1243438.0	1073249.0	1220882.0	1579219.0	1262827.0	Argentina	Indonesia	1450723.0	1491333.0	2145546.0	3021699.0	1475727.0	1475727.0	1566104.0	1566104.0
379254.0	379254.0	855368.0	1453125.0	1079425.0	987374.0	1102961.0	928825.0	721085.0	426477.0	446983.0	381653.0	379254.0	88118.0	Argentina	Iran, Islamic Republic of	247460.0	155937.0	575780.0	906144.0	405511.0	405511.0	380974.0	380974.0
135267.0	135267.0	132054.0	23200.0	61347.0	104353.0	116105.0	145152.0	88325.0	98104.0	194489.0	191184.0	135267.0	108792.0	Argentina	Iraq	174352.0	183871.0	120309.0	67780.0	137116.0	137116.0	135699.0	135699.0
305285.0	305285.0	73650.0	118272.0	206601.0	216779.0	252821.0	242172.0	231860.0	231488.0	277179.0	297694.0	305285.0	351897.0	Argentina	Ireland	337403.0	356458.0	374485.0	457413.0	294458.0	294458.0	304146.0	304146.0
206999.0	206999.0	267239.0	223064.0	232870.0	225656.0	199469.0	181271.0	182591.0	196470.0	200854.0	207611.0	206999.0	225562.0	Argentina	Israel	182137.0	177280.0	224819.0	240224.0	204751.0	204751.0	206608.0	206608.0
912453.0	912453.0	1501360.0	1586091.0	1979701.0	1118984.0	1080894.0	1031223.0	952080.0	1001755.0	1038993.0	1007927.0	912453.0	615117.0	Argentina	Italy	740537.0	663786.0	1198503.0	1467181.0	933778.0	933778.0	914030.0	914030.0
1284.0	1284.0	10245.0	7800.0	10228.0	10249.0	14231.0	4197.0	4401.0	4743.0	5400.0	1314.0	1284.0	654.0	Argentina	Jamaica	950.0	-15.0	1289.0	1986.0	1726.0	1726.0	1299.0	1299.0
