Exporters	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"Norfolk Island"	0	0	0	0	0	0	0	8	8	0	0	0	
"Africa not elsewhere specified"	13	0	0	9	87	7	0	0	0	0	0	0	
"Northern Mariana Islands"	243	49	2	2	89	81	1	17	1	6	0	0	
"Pitcairn"	1	0	1	7	1	14	2	1	8	0	0	0	
"Anguilla"	0	0	0	59	0	10	0	4	3	0	0	0	
"St. Pierre and Miquelon"	0	3	1	1	5	161	2	1	1	0	3	0	
"Free Zones"	965287	878447	1038057	1045827	130	0	1227213	1434903	1564460	1322322	0	0	
"Special categories"	0	0	0	0	13354784	13609217	0	0	0	0	0	0	
"Solomon Islands"	0	0	1	2180	2237	1412	418	15	4	0	2	0	
"Mayotte"	780	1510	566	0	2608	0	0	0	0	0	0	0	
"Cook Islands"	0	0	2068	1803	2563	3524	768	453	711	2	0	0	
"Netherlands Antilles"	448	325	0	0	0	0	0	0	0	0	0	0	
"Aruba"	16542	1	14443	5108	5	7	0	7	0	1	0	0	
"Micronesia, Federated States of"	0	0	1	0	1	0	0	0	0	0	0	0	
"Saint Lucia"	7	7	17	7	29	0	32	140	185	27	6	0	
"Sudan (before 2012)"	7262	5215	9370	0	0	0	0	0	0	0	0	0	
"Tonga"	2	0	350	0	0	0	0	0	0	0	0	0	
"Samoa"	44	0	6	67	2	0	0	0	0	540	4	0	
