Code	Product label	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
74	"Copper and articles thereof"	1985367	3299333	4118790	3877850	3823812	3703761	2985103	2724024	3326513	3344076	3032689	3211906	
40	"Rubber and articles thereof"	1555423	2321559	3361769	3035500	3147790	2906928	2525199	2560848	2951169	2803174	2601503	2692341	
52	"Cotton"	2098707	3385753	3608860	2377563	3088098	3158281	2264729	2297306	2995031	2508500	2629313	2543331	
73	"Articles of iron or steel"	1526071	1966864	2521135	2367176	3068350	2913553	2742252	2981949	2957422	2825004	2604847	2459952	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	2214106	2819742	3109936	2882668	3112428	3190868	2683943	2684713	2811917	2749839	2530897	2428686	
38	"Miscellaneous chemical products"	1473007	1795445	2204854	2053156	2156375	2294815	2049529	2024133	2212861	2281790	2194315	2390223	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	1054493	1558753	1697105	1670780	1727140	2316562	1884792	1819617	1921951	1891648	2111212	2383437	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	1276064	1545047	1884497	1828419	1977687	2164104	1808606	1738944	2009130	2015691	1940582	1962059	
54	"Man-made filaments; strip and the like of man-made textile materials"	1243638	1685962	2007424	2173333	2115003	2402958	2096757	2133525	2286708	2160295	2280426	1801284	
23	"Residues and waste from the food industries; prepared animal fodder"	556349	739080	856288	1320911	1717448	1468558	1116165	1326940	1571324	1446485	1703849	1766507	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	1094195	990266	1602447	1865299	1815836	2092826	1860664	1752812	1476557	1158472	1241597	1636115	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	1091697	1423768	1721687	1592243	1605065	1631434	1388784	1219692	1443288	1553759	1634626	1528121	
55	"Man-made staple fibres"	1519976	2089035	2467117	2223177	2174622	2153716	1966222	1954146	2148967	2016436	1881403	1309081	
26	"Ores, slag and ash"	962310	998513	1265614	1260226	1224480	1063078	888444	769290	1125728	1276472	1238602	1229909	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	839860	984293	1071449	1027870	1422910	1460255	1101905	1113790	1200318	1141906	1261354	1160538	
31	"Fertilisers"	1057507	1016777	1374434	1382438	1613008	1593010	1250919	1275609	1364695	1214947	1421802	1129054	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	521366	625558	813407	806543	903009	904749	779400	772613	881178	901224	864886	946409	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	342629	544956	602625	560063	644359	685923	737712	742889	949662	1088463	997960	935874	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	312392	315153	393504	457223	740473	857322	464566	540776	570018	562841	937968	904029	
