Exporters	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
"Luxembourg"	12542133	13911259	16307879	13726903	13826006	14790883	12625703	12838381	13959036	15148367	14667447	13442285	
"Uzbekistan"									10079210	10920700	14344696	13127295	
"Côte d'Ivoire"	10305618	10285209	11109599	10860930	13742845	12686884	12559700	10631006	12688047	11793157	12717852	12394485	
"Ghana"	5070533	5233154	18146653	15761184	12643899	15504399	13755565	10655796	14358510	17099588	16768275	12342064	
"Iran, Islamic Republic of"	77575221	108580979	137421481	132713014	92122800	90328135	60040642	78267311	91737444	96617521	30798216	12045441	
"Costa Rica"	8836345	9044841	10222241	11250804	11472064	11251853	9587045	9914296	10607355	11255809	11452817	11625662	
"Guatemala"	7208586	8460153	10161041	10124387	10065329	10890691	10753226	10463396	11011392	10863493	11183088	11401650	
"Sri Lanka"	7121491	8304052	10011282	9369784	10004879	11295486	10439730	10545893	11741037		11974156	10706858	
"Papua New Guinea"			5499320	4517686	6883951	9951198	9768858	8744897	10603142	11244922	11801523	9939481	
"Dominican Republic"	4374408	4766734	6112524	7168472	7960984	9927796	8384108	8744920	10224662	9395611	10078188	9848863	
"Panama"	10716687	12215863	15896225	16766628	15718136	13778161	12061293	11194931	10601014	11621377	11473935	9656808	
"Paraguay"	5079610	6516535	7776442	7282792	9456253	9635735	8361163	8501196	8679987	9042469	7652036	8518480	
"Honduras"	2595325	3103683	3533561	4696174	3897174	4533348	4262027	4084642	5289789	4486630	3091163	8468530	
"Bahrain"	8384000	16059213	22561917	16621226	20036210	23745959	13819478	10550361	12485371	14347750	14167296	8449205	
"Libya, State of"	27255515	36440414						20135528	20135528	30040892	29471855	8429558	
"Jordan"	6365744	7023137	7963486	7877136	7919621	8385330	7832977	7509083	7469238	7750263	8312917	7954403	
"Zambia"	3879827	6530809	8812012	9639946	10606852	9686603	7343902	6437179	8156628	9111114	6962507	7804715	
"Turkmenistan"	2678286	2674662	7421625	11250128	12070873	12517064	10093803	7963914	8399959	10130789	10962729	7784500	
"Trinidad and Tobago"	9125971	10981679	14875158	12159202	16597499	14526145	10755571	8730501	9946646	12349365	11137532	7513668	
"Bolivia, Plurinational State of"	5296740	7051433	9213940	11990832	12371516	12899078	8737108	7126324	8194491	8964856	8924398	7015198	
"Uruguay"	5404763	6724162	7911749	8709217	9065754	9165708	7984776	7010613	7946411	7641122	7816028	7010245	
"Lao People's Democratic Republic"		1908745	1898022	1597135	2987772	2572201	2985095	3124169	4909734	5814806	5809346	6736936	
"Macedonia, North"	2691528	3351429	4478313	4015403	4298766	4964132	4530076	4784605	5682803	6906337	7195141	6633216	
"Brunei Darussalam"	7171066	8897560	12451283	13000828	11447187	10508833	6341863	4703523	5586316	6506565	7249807	6614320	
"Bosnia and Herzegovina"	3953920	4803107	5850079	5161809	5687463	5892102	5099186	5327588	6366918	7182146	6578244	6148985	
"Mongolia"		2871174	4817496	4384669	4269056	5774331	4669280	4916326	6200593	7011758	7619754	6130627	
"Kenya"	4463443	5169112	5782864	6134501	5831838	6108821	5932133	5697716	5746757	6049226	5836027	6023442	
"Tanzania, United Republic of"	2982405	4050546	4734960	5547229	4412549	5704654	5854231	4399810	4094291	3797407	4932713	5984824	
"Ship stores and bunkers"	181719	206978	189166	33151	51907	257264	103538	146852	120886	146752	124747	5581674	
"Namibia"	5870620	5848292	5900941	5376995	6337216	5983840	4619179	4847421	5183908	7488296	6439325	5424088	
"Guinea"	1300451	1896539	1732980	2176918	1780484	1946668	1511287	2410982	6221437	6248708	6696489	5294098	
"Gabon"	5457903	7230349	11996258	11539236	11755590	10892719	6062692	4035257	5348328	6691711	7301312	5275076	
"Nicaragua"	1393054	1847629	2280872	4550647	4594148	4973501	5050230	4591962	4925581	5013908	5272553	5087343	
"Congo"	8194624	6936652	15597395	7437933	10453102	8678580	8705531	7905441	8264703	11303439	5577729	4977501	
"Venezuela, Bolivarian Republic of"	56583100	66962673	91094183	95034872	87961213	71468603	38466617	31014662	33953605	37850260	17015898	4818051	
"Iceland"	4056962	4603089	5348791	5063442	4997710	5051300	4752417	4458954	4853473	5591188	5231459	4595669	
"Cameroon"	1732408	3878433	2147386	4274981	4520922	5159520	4052643	2130450	3264185	3804848	5721600	4440820	
"Zimbabwe"	1795154	2640578	3121209	4125176	4067665	3871574	2704096	3341151	3480382	4037945	4279384	4394837	
"Burkina Faso"	794020	1290523	2317830	2105683	2374447	2604182	2220535	2529151	2820721	3269734	3261124	4381069	
"Botswana"	3455712	4693238	5915297	6714347	7573299	8538069	6276860	7375731	5954789	6122377	5238079	4255976	
"Uganda"	1567614	1618603	2159077	2357493	2407736	2261964	2267009	2482313	2901296	3087274	3563785	4148958	
"El Salvador"	3866080	4499243	5308179	5339088	5519300	5301546	4372604	4180333	4552996	4642690	4777618	4141009	
"Senegal"	2017386	2085662	2541705	2531665	2660989	2750172	2611672	2640277	3013160	3630401	4175809	3934554	
"Lebanon"	3484155	4254185	4266856	4746521	4179822	3752790	3459466	3509342	2843536	3829848	3731350	3807461	
"Mozambique"	2147169	2243069	3604118	3469852	4023719	4725331	3232530	3354938	4687405	5160904	4722313	3460033	
"Equatorial Guinea"	9188724	9603978	13310662	15648280	14672117	13037743	6824943	4655374	5339850	6567662	5072616	3105737	
"Mauritania"	1164530	1818731	2457999	2623807	2462517	2139811	1831909	1731106	2057289	2184109	2890635	2946811	
"Guyana"	788385	900754	1178649	1436600	1375940	1174050	1286337	1444855	1786473	1482901	3842163	2813853	
"Cyprus"	1350949	1506458	1954770	1826017	2135207	3270283	3369092	3001462	3360809	5064927	3520899	2741042	
"Malta"	2280269	3716754	5278694	5646270	5206239	4970788	3915448	3186126	2850079	3195311	3007798	2674923	
"Georgia"	1133629	1677299	2186407	2376634	2910582	2861043	1792719	1818888	2344033	2538234	2699657	2554547	
"Ethiopia"	938112	1372248	1809380	2741298	2591042	2977916	2697080	2615931	2862593	2671813	2678468	2526221	
"Armenia"	683989	1011425	1320411	1428121	1467800	1490190	1482667	1807790	2144963	2383414	2620069	2519990	
"Albania"	1087915	1549956	1948207	1967919	2331522	2430724	1929657	1962117	2301341	2875860	2719429	2514736	
"Free Zones"	3620770	6407187	6493954	9308149	6994743	6948456	8390744	8558529	6495173	6389198	4295133	2500105	
"Moldova, Republic of"	1282981	1541487	2216815	2161879	2428303	2339530	1966837	2044611	2425119	2706818	2779165	2485160	
"Sudan"				2449242	26037006	6204785	5587517	3993490	4240643	3619252	4193398	2182805	
"Mali"		1996261	2374497	2610387				2847594	1902730	3624307	3642251	2146259	
"Kyrgyzstan"	1178274	1488401	1978932	1683237	1773228	1883733	1646443	1543532	1790758	1764613	1965502	1964466	
"Madagascar"	1095898	1082168	1259683	1224514	1626889	2243190	1956428	2166904	2808106	3000696	2564400	1956910	
