Code	Product label	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	1538631	1691985	1891081	1873437	1877644	1585664	1151781	1053875	1088629	1232234	1125049	669855	
30	"Pharmaceutical products"	662950	693216	809898	902831	912958	851257	1046668	906469	743308	670629	679380	610678	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	541309	657507	776880	796346	790165	733770	763382	632222	635137	664155	559204	502697	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	548279	584169	771312	767614	426831	526753	534026	480545	499192	464299	546498	450284	
39	"Plastics and articles thereof"	1225477	1346573	1536173	1390059	1287292	1293156	948926	973269	992366	864737	733931	369542	
41	"Raw hides and skins (other than furskins) and leather"	662843	1001115	926519	831675	916903	1003200	823908	715201	719845	720205	564385	302948	
24	"Tobacco and manufactured tobacco substitutes"	378545	308448	398961	400049	352375	291520	224546	396807	322245	296636	240040	209643	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	244710	331712	420811	417651	476782	499255	336292	273646	262126	241585	222888	204070	
09	"Coffee, tea, maté and spices"	112698	140646	159639	180715	205716	220764	218822	177622	180486	196894	176574	167071	
44	"Wood and articles of wood; wood charcoal"	244098	274812	261317	187229	197533	186937	133214	108636	124633	120625	155256	153038	
17	"Sugars and sugar confectionery"	424053	298702	238901	290700	247620	134585	150142	305448	212333	133303	163241	147400	
21	"Miscellaneous edible preparations"	130871	177262	200465	194459	188864	195058	171398	161425	157380	157468	142827	146840	
29	"Organic chemicals"	390460	514256	524137	503315	523491	559157	439699	476170	475830	318394	284120	141577	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	148949	190354	222166	220707	201324	167178	144415	130339	144019	136457	129744	133353	
73	"Articles of iron or steel"	1287506	1201449	1494119	1391477	1174790	1075299	452328	359175	621900	318211	225377	125788	
52	"Cotton"	32400	98004	267962	123851	60895	145444	56459	79145	64045	168122	123939	110430	
