Exporters	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"Korea, Republic of"	615982	967905	1144584	1137226	1239823	917417	1071392	885606	836177	643244	502291	365477	
"Taipei, Chinese"	291104	444583	539095	506916	544399	470571	481129	411390	443516	411632	283921	324510	
"Netherlands"	231210	394127	435195	1129725	1074998	781511	452224	429141	490151	532179	446926	322528	
"Canada"	254127	408845	626554	510611	489641	556791	462150	345260	660173	386539	334606	293836	
"Ecuador"	137406	163413	209751	235956	274020	261125	271781	274849	323189	319188	241577	272375	
"Malaysia"	284840	328060	434221	447506	490005	401735	354557	291550	317457	290982	263784	271030	
"Belgium"	202194	293988	419067	435397	766959	418707	285593	312474	361918	315825	240525	263566	
"Ireland"	110985	173411	191462	228197	230264	243849	205093	192062	226483	248152	226519	253384	
"Morocco"	58786	105698	143385	111507	44788	50183	33678	107401	133768	175790	200708	245299	
"Indonesia"	178985	316188	372599	343714	380522	300308	314621	275977	345798	345415	292328	232782	
"Egypt"	53244	33089	74043	49686	116543	9710	6551	8199	35231	83907	129065	209485	
"Colombia"	108786	149976	241563	355247	435395	232729	231428	201010	232968	290947	220593	208953	
"Turkey"	93824	176564	249541	298966	381196	245171	186330	173235	211904	274023	227368	196183	
"Hungary"	47426	72520	119790	129139	148555	110733	149587	223264	312411	296571	205479	172494	
"Russian Federation"	109819	397842	791881	1123997	1720946	1344245	678691	393753	340984	522088	240660	166179	
"Sweden"	253807	213941	332556	284194	309060	303157	239206	289029	451750	238996	307054	155364	
"Denmark"	140047	140739	177571	149998	161256	164175	171603	168923	187618	303836	209427	152812	
"Poland"	65554	123678	149511	173237	222211	196251	182384	146998	261821	250739	225928	143066	
"Australia"	183310	325162	409556	281888	206057	159154	268064	159676	278640	364605	247039	142070	
"Finland"	110517	159542	213047	211958	173636	159695	140677	140797	250816	161803	122969	140884	
"Austria"	139023	173190	191194	298069	229436	200330	167291	168030	200583	199177	201025	139736	
"Israel"	85888	127396	178239	131783	148548	115292	120796	117787	144193	177186	134934	130760	
"South Africa"	100743	141195	204929	238116	242534	222783	179084	183007	194277	218331	137604	123637	
